iter	RMSE
0	98.12311591
1	96.99011052
2	95.91011658
3	94.71012958
4	93.65854093
5	92.61560309
6	91.62099164
7	90.60755221
8	89.54121597
9	88.62454021
10	87.6916296
11	86.77611221
12	85.86176378
13	84.97193219
14	84.15896169
15	83.34078435
16	82.62421727
17	81.88342636
18	81.18880874
19	80.45795293
20	79.71246941
21	79.04973304
22	78.35383311
23	77.70403151
24	77.11357191
25	76.44208864
26	75.88886027
27	75.35745308
28	74.7496478
29	74.19553184
30	73.62868399
31	73.13286337
32	72.6126114
33	72.09360792
34	71.59717131
35	71.15693495
36	70.751331
37	70.3047719
38	69.82360163
39	69.41782343
40	68.99544761
41	68.56721795
42	68.17736523
43	67.77921685
44	67.37737121
45	67.03073706
46	66.65313889
47	66.30427072
48	66.00799282
49	65.70759079
50	65.39059995
51	65.11799108
52	64.80770609
53	64.49719742
54	64.20423014
55	63.9320489
56	63.66398964
57	63.38678721
58	63.10693704
59	62.840227
60	62.60518286
61	62.36002272
62	62.11691685
63	61.8917501
64	61.67569856
65	61.45210265
66	61.23653345
67	61.02472857
68	60.82009817
69	60.64712059
70	60.44751326
71	60.23875845
72	60.07634718
73	59.91714708
74	59.76119452
75	59.62811827
76	59.45718191
77	59.31544904
78	59.1703382
79	59.00832669
80	58.86167445
81	58.73234611
82	58.58096102
83	58.43459905
84	58.32697149
85	58.20789587
86	58.07350184
87	57.96067632
88	57.84643154
89	57.73468351
90	57.61819287
91	57.49592538
92	57.38068527
93	57.27189931
94	57.1757354
95	57.07765979
96	56.96598187
97	56.87312177
98	56.77799483
99	56.68397239
100	56.5811125
101	56.50215548
102	56.41922405
103	56.34657966
104	56.26198607
105	56.20585701
106	56.13192476
107	56.06680274
108	55.99264859
109	55.92301569
110	55.84519721
111	55.768978
112	55.69942475
113	55.6307351
114	55.57368809
115	55.5127953
116	55.44692529
117	55.40175494
118	55.34217341
119	55.28682079
120	55.22771258
121	55.16761863
122	55.1192397
123	55.05310619
124	55.0035085
125	54.94864999
126	54.90199851
127	54.8503486
128	54.80898729
129	54.75646338
130	54.71496913
131	54.67736216
132	54.62902102
133	54.59632374
134	54.55746772
135	54.51689393
136	54.47493096
137	54.44210975
138	54.40224754
139	54.36737825
140	54.33352168
141	54.29106068
142	54.25747205
143	54.22272672
144	54.18164924
145	54.14267152
146	54.10944699
147	54.07988809
148	54.0504525
149	54.02626605
150	53.99128524
151	53.94683936
152	53.9171087
153	53.88607859
154	53.8513394
155	53.82022346
156	53.79506619
157	53.7674068
158	53.73450223
159	53.70466022
160	53.68163029
161	53.66022628
162	53.63945312
163	53.61783069
164	53.59482213
165	53.57017671
166	53.55409652
167	53.530639
168	53.50132817
169	53.47686788
170	53.45199921
171	53.43108046
172	53.41172157
173	53.39025964
174	53.36648806
175	53.35086386
176	53.33261758
177	53.31489959
178	53.29114133
179	53.27277002
180	53.25264826
181	53.23307173
182	53.21879718
183	53.20134677
184	53.1841891
185	53.16568018
186	53.14987621
