prefixo,nome,transmissao,valor_leitura_flu,valor,intervalo
143,Rio Tamanduateí - Prosperidade,WEBSERVICE,73353.5,,2018-10-01 03:00:00 UTC
143,Rio Tamanduateí - Prosperidade,WEBSERVICE,73348.8,,2018-10-01 03:10:00 UTC
143,Rio Tamanduateí - Prosperidade,WEBSERVICE,73349.59,,2018-10-01 03:20:00 UTC
143,Rio Tamanduateí - Prosperidade,WEBSERVICE,73347.5,,2018-10-01 03:30:00 UTC
143,Rio Tamanduateí - Prosperidade,WEBSERVICE,73346.195,,2018-10-01 03:40:00 UTC
143,Rio Tamanduateí - Prosperidade,WEBSERVICE,73342.4,,2018-10-01 03:50:00 UTC
143,Rio Tamanduateí - Prosperidade,WEBSERVICE,73344.6,,2018-10-01 04:00:00 UTC
143,Rio Tamanduateí - Prosperidade,WEBSERVICE,73343.2,,2018-10-01 04:10:00 UTC
143,Rio Tamanduateí - Prosperidade,WEBSERVICE,73342.8,,2018-10-01 04:20:00 UTC
143,Rio Tamanduateí - Prosperidade,WEBSERVICE,73339.5,,2018-10-01 04:30:00 UTC
143,Rio Tamanduateí - Prosperidade,WEBSERVICE,73338.6,,2018-10-01 04:40:00 UTC
143,Rio Tamanduateí - Prosperidade,WEBSERVICE,73339.1,,2018-10-01 04:50:00 UTC
143,Rio Tamanduateí - Prosperidade,WEBSERVICE,73340.305,,2018-10-01 05:00:00 UTC
143,Rio Tamanduateí - Prosperidade,WEBSERVICE,73340.305,,2018-10-01 05:10:00 UTC
143,Rio Tamanduateí - Prosperidade,WEBSERVICE,73339.9,,2018-10-01 05:20:00 UTC
143,Rio Tamanduateí - Prosperidade,WEBSERVICE,73337.09,,2018-10-01 05:30:00 UTC
143,Rio Tamanduateí - Prosperidade,WEBSERVICE,73338.6,,2018-10-01 05:40:00 UTC
143,Rio Tamanduateí - Prosperidade,WEBSERVICE,73338.7,,2018-10-01 05:50:00 UTC
143,Rio Tamanduateí - Prosperidade,WEBSERVICE,73335.8,,2018-10-01 06:00:00 UTC
143,Rio Tamanduateí - Prosperidade,WEBSERVICE,73337.41,,2018-10-01 06:10:00 UTC
143,Rio Tamanduateí - Prosperidade,WEBSERVICE,73337.5,,2018-10-01 06:20:00 UTC
143,Rio Tamanduateí - Prosperidade,WEBSERVICE,73334.5,,2018-10-01 06:30:00 UTC
143,Rio Tamanduateí - Prosperidade,WEBSERVICE,73336.6,,2018-10-01 06:40:00 UTC
143,Rio Tamanduateí - Prosperidade,WEBSERVICE,73336.3,,2018-10-01 06:50:00 UTC
143,Rio Tamanduateí - Prosperidade,WEBSERVICE,73336.6,,2018-10-01 07:00:00 UTC
143,Rio Tamanduateí - Prosperidade,WEBSERVICE,73333.805,,2018-10-01 07:10:00 UTC
143,Rio Tamanduateí - Prosperidade,WEBSERVICE,73333.4,,2018-10-01 07:20:00 UTC
143,Rio Tamanduateí - Prosperidade,WEBSERVICE,73335.8,,2018-10-01 07:30:00 UTC
