,intervalo,valor_leitura_flu_143,valor_leitura_flu_283,valor_leitura_flu_413,valor_leitura_flu_563,valor_leitura_flu_629,valor_leitura_flu_1000580,valor_leitura_flu_1000610,valor_leitura_flu_1000958,valor_leitura_plu_143,valor_leitura_plu_283,valor_leitura_plu_413,valor_leitura_plu_511,valor_leitura_plu_514,valor_leitura_plu_563,valor_leitura_plu_629,valor_leitura_plu_1000500,valor_leitura_plu_1000510,valor_leitura_plu_1000868
0,2019-01-01 02:00:00 UTC,73334.195,72264.2,71665.695,74569.4,72837.41,77200.5,300.3,72416.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2019-01-01 02:10:00 UTC,73336.8,72264.6,71664.6,74568.91,72837.41,77200.2,300.3,72417.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2019-01-01 02:20:00 UTC,73336.8,72265.195,71664.6,74569.4,72837.8,77200.5,300.3,72417.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2019-01-01 02:30:00 UTC,73336.8,72265.6,71665.695,74568.91,72837.7,77200.3,300.3,72418.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2019-01-01 02:40:00 UTC,73335.9,72265.6,71664.6,74568.91,72837.91,77200.5,300.3,72418.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2019-01-01 02:50:00 UTC,73335.5,72265.305,71664.6,74568.91,72837.91,77200.5,300.3,72418.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2019-01-01 03:00:00 UTC,73334.195,72265.1,71664.6,74568.91,72837.41,77200.5,300.3,72417.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2019-01-01 03:10:00 UTC,73333.5,72265.0,71664.6,74568.91,72837.5,77200.7,300.3,72417.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2019-01-01 03:20:00 UTC,73332.2,72264.695,71665.695,74568.91,72837.7,77200.5,300.3,72417.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2019-01-01 03:30:00 UTC,73332.6,72264.4,71665.695,74568.91,72837.2,77200.5,300.3,72415.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2019-01-01 03:40:00 UTC,73332.6,72264.1,71665.695,74568.91,72837.41,77200.5,300.3,72415.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2019-01-01 03:50:00 UTC,73330.6,72263.4,71665.695,74568.91,72836.7,77200.41,300.3,72415.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2019-01-01 04:00:00 UTC,73333.1,72263.4,71665.695,74569.0,72836.7,77200.2,300.3,72414.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2019-01-01 04:10:00 UTC,73333.4,72263.1,71665.805,74569.4,72837.0,77200.5,300.3,72413.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2019-01-01 04:20:00 UTC,73333.5,72262.41,71664.6,74569.0,72837.5,77200.6,300.3,72412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2019-01-01 04:30:00 UTC,73333.9,72261.1,71665.805,74569.0,72837.8,77200.7,300.3,72410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2019-01-01 04:40:00 UTC,73332.1,72259.695,71665.805,74569.4,72837.5,77200.5,300.3,72407.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
