prefixo,nome,transmissao,valor_leitura_flu,valor,intervalo
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71661.2,,2020-01-01 03:00:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71661.2,,2020-01-01 03:10:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71660.195,,2020-01-01 03:20:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71660.195,,2020-01-01 03:30:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71660.195,,2020-01-01 03:40:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71660.195,,2020-01-01 03:50:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71660.195,,2020-01-01 04:00:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71660.195,,2020-01-01 04:10:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71660.195,,2020-01-01 04:20:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71660.195,,2020-01-01 04:30:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71660.195,,2020-01-01 04:40:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71659.1,,2020-01-01 04:50:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71659.1,,2020-01-01 05:00:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71659.1,,2020-01-01 05:10:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71659.1,,2020-01-01 05:20:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71659.1,,2020-01-01 05:30:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71659.1,,2020-01-01 05:40:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71659.1,,2020-01-01 05:50:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71659.1,,2020-01-01 06:00:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71657.9,,2020-01-01 06:10:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71656.9,,2020-01-01 06:20:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71656.9,,2020-01-01 06:30:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71656.9,,2020-01-01 06:40:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71655.8,,2020-01-01 06:50:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71655.8,,2020-01-01 07:00:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71654.6,,2020-01-01 07:10:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71653.6,,2020-01-01 07:20:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71653.6,,2020-01-01 07:30:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71653.6,,2020-01-01 07:40:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71652.5,,2020-01-01 07:50:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71652.5,,2020-01-01 08:00:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71650.3,,2020-01-01 08:10:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71651.4,,2020-01-01 08:20:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71651.4,,2020-01-01 08:30:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71650.3,,2020-01-01 08:40:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71650.3,,2020-01-01 08:50:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71650.3,,2020-01-01 09:00:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71650.3,,2020-01-01 09:10:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71649.2,,2020-01-01 09:20:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71649.2,,2020-01-01 09:30:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71649.3,,2020-01-01 09:40:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71649.4,,2020-01-01 09:50:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71649.5,,2020-01-01 10:00:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71647.305,,2020-01-01 10:10:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71647.305,,2020-01-01 10:20:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71646.195,,2020-01-01 10:30:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71643.91,,2020-01-01 10:40:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71642.8,,2020-01-01 10:50:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71641.805,,2020-01-01 11:00:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71640.695,,2020-01-01 11:10:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71639.6,,2020-01-01 11:20:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71639.5,,2020-01-01 11:30:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71638.3,,2020-01-01 11:40:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71639.5,,2020-01-01 11:50:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71638.3,,2020-01-01 12:00:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71638.2,,2020-01-01 12:10:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71639.4,,2020-01-01 12:20:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71638.2,,2020-01-01 12:30:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71639.4,,2020-01-01 12:40:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71638.2,,2020-01-01 12:50:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71638.2,,2020-01-01 13:00:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71638.2,,2020-01-01 13:10:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71638.2,,2020-01-01 13:20:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71639.4,,2020-01-01 13:30:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71640.4,,2020-01-01 13:40:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71640.305,,2020-01-01 13:50:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71640.4,,2020-01-01 14:00:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71640.4,,2020-01-01 14:10:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71640.4,,2020-01-01 14:20:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71641.5,,2020-01-01 14:30:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71641.5,,2020-01-01 14:40:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71641.5,,2020-01-01 14:50:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71640.4,,2020-01-01 15:00:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71642.6,,2020-01-01 15:10:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71641.4,,2020-01-01 15:20:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71641.4,,2020-01-01 15:30:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71641.4,,2020-01-01 15:40:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71642.6,,2020-01-01 15:50:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71641.4,,2020-01-01 16:00:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71642.5,,2020-01-01 16:10:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71642.5,,2020-01-01 16:20:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71641.305,,2020-01-01 16:30:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71642.5,,2020-01-01 16:40:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71642.5,,2020-01-01 16:50:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71642.4,,2020-01-01 17:00:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71642.5,,2020-01-01 17:10:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71642.5,,2020-01-01 17:20:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71642.4,,2020-01-01 17:30:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71642.4,,2020-01-01 17:40:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71642.4,,2020-01-01 17:50:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71642.3,,2020-01-01 18:00:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71642.3,,2020-01-01 18:10:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71643.4,,2020-01-01 18:20:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71643.4,,2020-01-01 18:30:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71642.4,,2020-01-01 18:40:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71642.2,,2020-01-01 18:50:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71642.2,,2020-01-01 19:00:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71642.1,,2020-01-01 19:10:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71642.1,,2020-01-01 19:20:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71642.1,,2020-01-01 19:30:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71639.805,,2020-01-01 19:40:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71642.0,,2020-01-01 19:50:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71642.0,,2020-01-01 20:00:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71645.3,,2020-01-01 20:10:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71648.6,,2020-01-01 20:20:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71650.9,,2020-01-01 20:30:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71652.1,,2020-01-01 20:40:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71654.4,,2020-01-01 20:50:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71655.5,,2020-01-01 21:00:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71655.5,,2020-01-01 21:10:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71655.5,,2020-01-01 21:20:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71657.6,,2020-01-01 21:30:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71659.9,,2020-01-01 21:40:00 UTC
