,intervalo,valor_leitura_flu_143,valor_leitura_flu_283,valor_leitura_flu_413,valor_leitura_flu_563,valor_leitura_flu_629,valor_leitura_flu_1000580,valor_leitura_flu_1000610,valor_leitura_flu_1000958,valor_leitura_plu_143,valor_leitura_plu_283,valor_leitura_plu_413,valor_leitura_plu_511,valor_leitura_plu_514,valor_leitura_plu_563,valor_leitura_plu_629,valor_leitura_plu_1000500,valor_leitura_plu_1000510,valor_leitura_plu_1000868
0,2022-01-01 03:00:00 UTC,73362.0,72395.0,71753.0,74596.0,72838.0,77250.0,336.0,72477.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2022-01-01 03:10:00 UTC,73361.0,72395.0,71749.0,74596.0,72838.0,77250.0,335.0,72475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2022-01-01 03:20:00 UTC,73357.0,72395.0,71746.0,74596.0,72838.0,77250.0,335.0,72474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2022-01-01 03:30:00 UTC,73358.0,72395.0,71742.0,74595.0,72838.0,77250.0,334.0,72472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2022-01-01 03:40:00 UTC,73354.0,72395.0,71739.0,74596.0,72838.0,77250.0,331.0,72471.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2022-01-01 03:50:00 UTC,73354.0,72395.0,71736.0,74596.0,72838.0,77250.0,328.0,72469.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2022-01-01 04:00:00 UTC,73354.0,72395.0,71732.0,74596.0,72838.0,77249.0,325.0,72468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2022-01-01 04:10:00 UTC,73352.0,72395.0,71729.0,74596.0,72838.0,77249.0,323.0,72467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2022-01-01 04:20:00 UTC,73354.0,72266.0,71726.0,74595.0,72838.0,77249.0,323.0,72466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2022-01-01 04:30:00 UTC,73352.0,72264.0,71724.0,74595.0,72838.0,77249.0,322.0,72464.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2022-01-01 04:40:00 UTC,73353.0,72263.0,71721.0,74596.0,72837.0,77249.0,321.0,72461.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
