,max_depth,learning_rate,n_estimators,min_child_weight,gamma,subsample,colsample_bytree,reg_alpha,reg_lambda,horizon
0,9,0.010328599932288924,800,7,7.923642536432035e-06,0.10326006883454343,0.4641362238671197,0.011112688094335285,0.0826434790579366,1
0,7,0.0103476270756751,950,8,4.412097498993606e-08,0.1027204330386207,0.32601522082970785,5.5851155423985394e-08,2.2024190485170438e-07,2
0,8,0.012948373271595008,850,9,0.31441617014080125,0.059308800279168586,0.1551425795835727,1.8614300426411303e-06,0.5924216292888268,3
0,9,0.010104270255115124,1000,8,5.722806841968788e-07,0.05158420310838993,0.2017159157426026,6.122902601995566e-08,1.8098521188382253e-07,4
0,6,0.010541470538876652,500,8,3.925918285275017e-08,0.461547797261852,0.19637707320839864,5.2948937668171334e-05,0.001278099768328684,5
0,2,0.011680805595974019,700,5,0.000624655052858831,0.4781280978582758,0.6230401344055504,7.17883341171357e-06,0.07723270404471544,6
0,2,0.02055039032521618,1000,8,0.0011522534299240425,0.7464369255448797,0.08800816625590349,0.07068742970439099,8.933477161110316e-08,7
0,9,0.014164967396419497,400,2,2.5948623554942554e-08,0.977511106908752,0.15782450585454794,0.04020573194369395,4.044827556457758e-05,8
