,iterations,learning_rate,depth,subsample,colsample_bylevel,min_data_in_leaf,horizon
0,900,0.0735267908428894,5,0.8073143791503248,0.7001905813814959,41,1
0,700,0.029138156674339534,5,0.8869760670916221,0.9776209048189765,73,2
0,1000,0.019302769748596686,5,0.29466576411543177,0.36192023420627817,48,3
0,1000,0.021155537121292912,6,0.31733981100079367,0.3024190020138231,63,4
0,600,0.0446675951747347,3,0.566638909120099,0.7689372781880507,78,5
0,250,0.06578762587968055,4,0.7164728291383149,0.2877942723522799,92,6
0,1000,0.02783300654295545,3,0.21849869482967416,0.4522655730699341,64,7
0,350,0.04314319669339296,3,0.5043066921176201,0.3708316873737997,62,8
