,algorithm,horizon,rmse_train,nse_train,rmse,nse
0,Persistence,1,38.34147777428639,[0.8462931],37.4028384608547,[0.80440801]
0,random_forest,1,8.697306883447352,0.9920909327102724,25.534656724531644,0.9088404900668509
0,xgboost,1,10.62303081926174,0.9882007999450122,25.171760179963716,0.9114131814386609
0,light_gbm,1,14.749131871900849,0.9772548607985365,23.16382900825512,0.9249824917065279
0,catboost,1,12.713422281676866,0.9831002365100614,22.653755608205216,0.9282499255326895
0,Persistence,2,59.763455806872855,[0.62669975],59.243033169543665,[0.50952963]
0,random_forest,2,13.67950314125475,0.9804418611289237,42.21117520986429,0.7510035879635611
0,xgboost,2,21.426807077319232,0.9520154090278633,42.535945186271476,0.7471573245310266
0,light_gbm,2,28.480513336117724,0.9152221293789679,40.19100720061381,0.7742665175121809
0,catboost,2,25.49400668101534,0.9320697724966363,39.353975786543494,0.7835710113519445
0,Persistence,3,75.63964804223107,[0.40223972],73.90647747977756,[0.23703711]
0,random_forest,3,18.50047303645804,0.9642403120434102,56.30454256528072,0.5571819870283845
0,xgboost,3,32.73145303239334,0.8880668760114926,57.08325777125502,0.5448485705995212
0,light_gbm,3,41.803274503088666,0.8174219104693718,54.49338034211068,0.5852122634064563
0,catboost,3,38.804932707310385,0.8426734845474333,53.92394718921853,0.5938356897096109
0,Persistence,4,87.78756761703893,[0.19510758],84.37060970184513,[0.00613692]
0,random_forest,4,22.707194657773442,0.9461483803687228,68.686557650991,0.3412999680700872
0,xgboost,4,40.99880126664684,0.8244446288048475,70.77183095603237,0.3006975584888243
0,light_gbm,4,53.0025141545125,0.7065968683272317,66.47289642692164,0.3830735550230341
0,catboost,4,50.29443009801018,0.7358129128931468,66.39553379001876,0.38450870487258026
0,Persistence,5,97.20371029349738,[0.01353335],92.05875345721826,[-0.18273166]
0,random_forest,5,25.625315636565645,0.9314424686420165,78.3782169709229,0.14267240533279923
0,xgboost,5,48.43611076429105,0.7550625165944345,80.00977522498921,0.1066078250903717
0,light_gbm,5,61.29119176959567,0.6077952436913611,75.58900727174164,0.2026053326566375
0,catboost,5,58.608383675828854,0.6413785907236188,77.52638040319688,0.161206494375992
0,Persistence,6,104.69812508478107,[-0.14405117],97.81000579199346,[-0.33457368]
0,random_forest,6,28.107614134814334,0.9175452635887075,83.36546958652737,0.03049871973661289
0,xgboost,6,54.920035177038855,0.685203963644588,86.16085813154056,-0.035609478517928395
0,light_gbm,6,67.93042636043943,0.518389082991069,79.76251764020375,0.11248910605661122
0,catboost,6,65.40591363305467,0.5535203438066816,80.52740908218986,0.09538572320045868
0,Persistence,7,110.7119645814834,[-0.27884878],102.21593753033035,[-0.45693102]
0,random_forest,7,29.84156798766004,0.9070876686166641,86.48655082001501,-0.043035070230509787
0,xgboost,7,59.384594563947594,0.6320594345281717,91.03448825526642,-0.1556163209931265
0,light_gbm,7,72.71282351247939,0.44836463839490737,83.4870490941043,0.028058830780671062
0,catboost,7,70.24910283197632,0.4851133350136403,84.72436877590653,-0.0009639585371041814
0,Persistence,8,115.38221218246521,[-0.38861085],105.59976249288384,[-0.55436482]
0,random_forest,8,30.75580554919631,0.9013363800189407,89.47542806177563,-0.11592406843401637
0,xgboost,8,63.54366954044106,0.5788397111993793,95.50782591297393,-0.2714667085864533
0,light_gbm,8,76.55328588961731,0.3887336255396513,86.6756783290297,-0.04718056491873113
0,catboost,8,73.28246098061443,0.4398518271227857,88.1625804143401,-0.08341703777185927
