,algorithm,horizon,rmse_train,nse_train,rmse,nse
0,Persistence,1,38.34147777428639,[0.8462931],37.4028384608547,[0.80440801]
0,random_forest,1,14.70556476380737,0.9773890349845004,25.375457109825753,0.9099736416624253
0,xgboost,1,19.631318298932854,0.9597046798034964,23.16035039867749,0.9250050214038651
0,light_gbm,1,17.38892190760873,0.9683844314710326,24.260312087706193,0.9177123421918099
0,catboost,1,14.258539789838787,0.9787428133668218,22.450970930609,0.9295287152190155
0,Persistence,2,59.763455806872855,[0.62669975],59.243033169543665,[0.50952963]
0,random_forest,2,27.319661455831397,0.9219922942813736,41.43941343266155,0.7600253313288562
0,xgboost,2,35.11963971650093,0.8710898889920696,40.006576126062214,0.7763334846880048
0,light_gbm,2,23.988073481623708,0.9398580341709913,39.65648848854964,0.7802308578163133
0,catboost,2,33.61888249599412,0.8818718438995101,39.650043166227206,0.7803022896501558
0,Persistence,3,75.63964804223107,[0.40223972],73.90647747977756,[0.23703711]
0,random_forest,3,46.78415216492932,0.7713213701374326,55.593503256425,0.5682955809151156
0,xgboost,3,50.15801178471474,0.7371495766768805,54.06866212520992,0.5916527295913458
0,light_gbm,3,45.68151861485566,0.7819735816612318,54.07806077676033,0.5915107528113093
0,catboost,3,48.56693967597313,0.7535609470227875,53.71273972352157,0.5970111595834547
0,Persistence,4,87.78756761703893,[0.19510758],84.37060970184513,[0.00613692]
0,random_forest,4,58.050813204961266,0.6480439625244055,66.18515291072772,0.3884030165917429
0,xgboost,4,61.66977901818395,0.6027932793165618,65.81237275832409,0.3952731117632772
0,light_gbm,4,51.31852647379541,0.7249446103161745,66.35596145878728,0.38524216285348367
0,catboost,4,59.32793931779936,0.6323874482576357,65.20187233615351,0.40644042425162485
0,Persistence,5,97.20371029349738,[0.01353335],92.05875345721826,[-0.18273166]
0,random_forest,5,64.50426556608184,0.5655962219974145,74.31708417663917,0.22921479977985093
0,xgboost,5,68.82517347530707,0.505448693537419,73.4274293077605,0.24755858537794473
0,light_gbm,5,65.29591474614641,0.5548680732582932,74.04813569033446,0.23478354376655275
0,catboost,5,71.66487362144248,0.46379679843883403,73.32251128403448,0.2497073264199513
0,Persistence,6,104.69812508478107,[-0.14405117],97.81000579199346,[-0.33457368]
0,random_forest,6,69.93222788012532,0.48958624429739017,78.47576754383827,0.14089325377385742
0,xgboost,6,80.07869863240931,0.3307295418493217,78.04478003505923,0.1503037392142309
0,light_gbm,6,58.353465971051726,0.6446134764376955,80.47786706539131,0.09649845314535443
0,catboost,6,78.63354016430833,0.3546678543351516,77.70598468381333,0.15766485443238998
0,Persistence,7,110.7119645814834,[-0.27884878],102.21593753033035,[-0.45693102]
0,random_forest,7,74.2765228885026,0.42438353278921837,81.03494055874043,0.0843143838193654
0,xgboost,7,83.31811276291498,0.27571593842557585,81.22472471652702,0.08002028248314674
0,light_gbm,7,70.81342271926758,0.47680780999837713,81.9041070985559,0.06456607413233462
0,catboost,7,82.53893850196438,0.289199313558021,81.22707362999552,0.07996707247836699
0,Persistence,8,115.38221218246521,[-0.38861085],105.59976249288384,[-0.55436482]
0,random_forest,8,77.28961860440718,0.37691806309426856,83.71637134509122,0.02310504554890891
0,xgboost,8,71.15093055512827,0.47196342955870263,85.78407552216598,-0.025747402058588165
0,light_gbm,8,80.47638812756604,0.3244775513599525,83.68144336166763,0.02392003196756609
0,catboost,8,86.93734545725165,0.21165633242102566,83.18688142856415,0.035423311313492856
